OrganizationIdentifier,OrganizationFormalName,ActivityIdentifier,ActivityTypeCode,ActivityMediaName,ActivityMediaSubdivisionName,ActivityStartDate,ActivityStartTime/Time,ActivityStartTime/TimeZoneCode,ActivityEndDate,ActivityEndTime/Time,ActivityEndTime/TimeZoneCode,ActivityRelativeDepthName,ActivityDepthHeightMeasure/MeasureValue,ActivityDepthHeightMeasure/MeasureUnitCode,ActivityDepthAltitudeReferencePointText,ActivityTopDepthHeightMeasure/MeasureValue,ActivityTopDepthHeightMeasure/MeasureUnitCode,ActivityBottomDepthHeightMeasure/MeasureValue,ActivityBottomDepthHeightMeasure/MeasureUnitCode,ProjectIdentifier,ProjectName,ActivityConductingOrganizationText,MonitoringLocationIdentifier,MonitoringLocationName,ActivityCommentText,SampleAquifer,HydrologicCondition,HydrologicEvent,Latitude,Longitude,SampleCollectionMethod/MethodIdentifier,SampleCollectionMethod/MethodIdentifierContext,SampleCollectionMethod/MethodName,SampleCollectionMethod/MethodDescriptionText,SampleCollectionEquipmentName,ResultIdentifier,ResultDetectionConditionText,MethodSpeciationName,CharacteristicName,ResultSampleFractionText,ResultMeasureValue,ResultMeasure/MeasureUnitCode,MeasureQualifierCode,ResultStatusIdentifier,StatisticalBaseCode,ResultValueTypeName,ResultWeightBasisText,ResultTimeBasisText,ResultTemperatureBasisText,ResultParticleSizeBasisText,DataQuality/PrecisionValue,DataQuality/BiasValue,DataQuality/ConfidenceIntervalValue,DataQuality/UpperConfidenceLimitValue,DataQuality/LowerConfidenceLimitValue,ResultCommentText,USGSPCode,ResultDepthHeightMeasure/MeasureValue,ResultDepthHeightMeasure/MeasureUnitCode,ResultDepthAltitudeReferencePointText,SubjectTaxonomicName,SampleTissueAnatomyName,BinaryObjectFileName,BinaryObjectFileTypeCode,ResultFileUrl,ResultAnalyticalMethod/MethodIdentifier,ResultAnalyticalMethod/MethodIdentifierContext,ResultAnalyticalMethod/MethodName,ResultAnalyticalMethod/MethodUrl,ResultAnalyticalMethod/MethodDescriptionText,LaboratoryName,AnalysisStartDate,ResultLaboratoryCommentText,ResultDetectionQuantitationLimitUrl,DetectionQuantitationLimitTypeName,DetectionQuantitationLimitMeasure/MeasureValue,DetectionQuantitationLimitMeasure/MeasureUnitCode,LabSamplePreparationUrl,LastUpdated,ProviderName
CABEACH_WQX,California State Water Resource Control Board,CABEACH_WQX-2156856,Sample-Routine,Water,Surface Water,2015-05-12,00:00:00,PST,,,,,,,,,,,,CA485061;EPABEACH,Dana Point Harbor;EPABEACH,,CABEACH_WQX-BDP07,BDP07,,,,,33.4595000000,-117.6905000000,Grab,CABEACH_WQX,Grab Sample,Method for generic water collection that was either grab or integrated,Miscellaneous (Other),STORET-527672125,,,Enterococcus,,9,cfu/100ml,,Final,,Actual,,,,,,,,,,,,0.1,m,,,,,,,EPA1600,CABEACH_WQX,EPA1600,,,,,,,,,,,2016-03-24 16:47:31.0,STORET
CABEACH_WQX,California State Water Resource Control Board,CABEACH_WQX-2139103,Sample-Routine,Water,Surface Water,2015-02-05,00:00:00,PST,,,,,,,,,,,,CA485061;EPABEACH,Dana Point Harbor;EPABEACH,,CABEACH_WQX-BDP07,BDP07,,,,,33.4595000000,-117.6905000000,Grab,CABEACH_WQX,Grab Sample,Method for generic water collection that was either grab or integrated,Miscellaneous (Other),STORET-527651728,,,Enterococcus,,8,cfu/100ml,,Final,,Actual,,,,,,,,,,,,0.1,m,,,,,,,EPA1600,CABEACH_WQX,EPA1600,,,,,,,,,,,2016-03-24 16:12:47.0,STORET
CABEACH_WQX,California State Water Resource Control Board,CABEACH_WQX-2154063,Sample-Routine,Water,Surface Water,2015-03-31,00:00:00,PST,,,,,,,,,,,,CA485061;EPABEACH,Dana Point Harbor;EPABEACH,,CABEACH_WQX-BDP07,BDP07,,,,,33.4595000000,-117.6905000000,Grab,CABEACH_WQX,Grab Sample,Method for generic water collection that was either grab or integrated,Miscellaneous (Other),STORET-527669012,,,Enterococcus,,6,cfu/100ml,,Final,,Actual,,,,,,,,,,,,0.1,m,,,,,,,EPA1600,CABEACH_WQX,EPA1600,,,,,,,,,,,2016-03-24 16:42:26.0,STORET
CABEACH_WQX,California State Water Resource Control Board,CABEACH_WQX-2139101,Sample-Routine,Water,Surface Water,2015-02-05,00:00:00,PST,,,,,,,,,,,,CA485061;EPABEACH,Dana Point Harbor;EPABEACH,,CABEACH_WQX-BDP07,BDP07,,,,,33.4595000000,-117.6905000000,Grab,CABEACH_WQX,Grab Sample,Method for generic water collection that was either grab or integrated,Miscellaneous (Other),STORET-527651715,,,Total Coliform,,40,cfu/100ml,,Final,,Actual,,,,,,,,,,,,0.1,m,,,,,,,APHA9222B,CABEACH_WQX,APHA9222B,,,,,,,,,,,2016-03-24 16:12:47.0,STORET
CABEACH_WQX,California State Water Resource Control Board,CABEACH_WQX-2152776,Sample-Routine,Water,Surface Water,2015-05-04,00:00:00,PST,,,,,,,,,,,,CA485061;EPABEACH,Dana Point Harbor;EPABEACH,,CABEACH_WQX-BDP07,BDP07,,,,,33.4595000000,-117.6905000000,Grab,CABEACH_WQX,Grab Sample,Method for generic water collection that was either grab or integrated,Miscellaneous (Other),STORET-527668348,,,Fecal Coliform,,9,cfu/100ml,,Final,,Actual,,,,,,,,,,,,0.1,m,,,,,,,APHA9222D,CABEACH_WQX,APHA9222D,,,,,,,,,,,2016-03-24 16:40:30.0,STORET
CABEACH_WQX,California State Water Resource Control Board,CABEACH_WQX-2137774,Sample-Routine,Water,Surface Water,2015-02-24,00:00:00,PST,,,,,,,,,,,,CA485061;EPABEACH,Dana Point Harbor;EPABEACH,,CABEACH_WQX-BDP07,BDP07,,,,,33.4595000000,-117.6905000000,Grab,CABEACH_WQX,Grab Sample,Method for generic water collection that was either grab or integrated,Miscellaneous (Other),STORET-527650975,,,Enterococcus,,8,cfu/100ml,,Final,,Actual,,,,,,,,,,,,0.1,m,,,,,,,EPA1600,CABEACH_WQX,EPA1600,,,,,,,,,,,2016-03-24 16:11:25.0,STORET
CABEACH_WQX,California State Water Resource Control Board,CABEACH_WQX-2191831,Sample-Routine,Water,Surface Water,2015-06-08,00:00:00,PST,,,,,,,,,,,,CA485061;EPABEACH,Dana Point Harbor;EPABEACH,,CABEACH_WQX-BDP07,BDP07,,,,,33.4595000000,-117.6905000000,Grab,CABEACH_WQX,Grab Sample,Method for generic water collection that was either grab or integrated,Miscellaneous (Other),STORET-527699568,,,Total Coliform,,9,cfu/100ml,,Final,,Actual,,,,,,,,,,,,0.1,m,,,,,,,APHA9222B,CABEACH_WQX,APHA9222B,,,,,,,,,,,2016-03-24 17:40:57.0,STORET
CABEACH_WQX,California State Water Resource Control Board,CABEACH_WQX-2206938,Sample-Routine,Water,Surface Water,2015-10-26,00:00:00,PST,,,,,,,,,,,,CA485061;EPABEACH,Dana Point Harbor;EPABEACH,,CABEACH_WQX-BDP07,BDP07,,,,,33.4595000000,-117.6905000000,Grab,CABEACH_WQX,Grab Sample,Method for generic water collection that was either grab or integrated,Miscellaneous (Other),STORET-527712188,,,Fecal Coliform,,9,cfu/100ml,,Final,,Actual,,,,,,,,,,,,0.1,m,,,,,,,APHA9222D,CABEACH_WQX,APHA9222D,,,,,,,,,,,2016-03-24 18:06:42.0,STORET
CABEACH_WQX,California State Water Resource Control Board,CABEACH_WQX-2205814,Sample-Routine,Water,Surface Water,2015-10-08,00:00:00,PST,,,,,,,,,,,,CA485061;EPABEACH,Dana Point Harbor;EPABEACH,,CABEACH_WQX-BDP07,BDP07,,,,,33.4595000000,-117.6905000000,Grab,CABEACH_WQX,Grab Sample,Method for generic water collection that was either grab or integrated,Miscellaneous (Other),STORET-527710678,,,Enterococcus,,9,cfu/100ml,,Final,,Actual,,,,,,,,,,,,0.1,m,,,,,,,EPA1600,CABEACH_WQX,EPA1600,,,,,,,,,,,2016-03-24 18:02:28.0,STORET
CABEACH_WQX,California State Water Resource Control Board,CABEACH_WQX-2140183,Sample-Routine,Water,Surface Water,2015-03-03,00:00:00,PST,,,,,,,,,,,,CA485061;EPABEACH,Dana Point Harbor;EPABEACH,,CABEACH_WQX-BDP07,BDP07,,,,,33.4595000000,-117.6905000000,Grab,CABEACH_WQX,Grab Sample,Method for generic water collection that was either grab or integrated,Miscellaneous (Other),STORET-527655953,,,Enterococcus,,2,cfu/100ml,,Final,,Actual,,,,,,,,,,,,0.1,m,,,,,,,EPA1600,CABEACH_WQX,EPA1600,,,,,,,,,,,2016-03-24 16:15:00.0,STORET
