OrganizationIdentifier,OrganizationFormalName,ActivityIdentifier,ActivityTypeCode,ActivityMediaName,ActivityMediaSubdivisionName,ActivityStartDate,ActivityStartTime/Time,ActivityStartTime/TimeZoneCode,ActivityEndDate,ActivityEndTime/Time,ActivityEndTime/TimeZoneCode,ActivityRelativeDepthName,ActivityDepthHeightMeasure/MeasureValue,ActivityDepthHeightMeasure/MeasureUnitCode,ActivityDepthAltitudeReferencePointText,ActivityTopDepthHeightMeasure/MeasureValue,ActivityTopDepthHeightMeasure/MeasureUnitCode,ActivityBottomDepthHeightMeasure/MeasureValue,ActivityBottomDepthHeightMeasure/MeasureUnitCode,ProjectIdentifier,ProjectName,ActivityConductingOrganizationText,MonitoringLocationIdentifier,MonitoringLocationName,ActivityCommentText,SampleAquifer,HydrologicCondition,HydrologicEvent,Latitude,Longitude,SampleCollectionMethod/MethodIdentifier,SampleCollectionMethod/MethodIdentifierContext,SampleCollectionMethod/MethodName,SampleCollectionMethod/MethodDescriptionText,SampleCollectionEquipmentName,ResultIdentifier,ResultDetectionConditionText,MethodSpeciationName,CharacteristicName,ResultSampleFractionText,ResultMeasureValue,ResultMeasure/MeasureUnitCode,MeasureQualifierCode,ResultStatusIdentifier,StatisticalBaseCode,ResultValueTypeName,ResultWeightBasisText,ResultTimeBasisText,ResultTemperatureBasisText,ResultParticleSizeBasisText,DataQuality/PrecisionValue,DataQuality/BiasValue,DataQuality/ConfidenceIntervalValue,DataQuality/UpperConfidenceLimitValue,DataQuality/LowerConfidenceLimitValue,ResultCommentText,USGSPCode,ResultDepthHeightMeasure/MeasureValue,ResultDepthHeightMeasure/MeasureUnitCode,ResultDepthAltitudeReferencePointText,SubjectTaxonomicName,SampleTissueAnatomyName,BinaryObjectFileName,BinaryObjectFileTypeCode,ResultFileUrl,ResultAnalyticalMethod/MethodIdentifier,ResultAnalyticalMethod/MethodIdentifierContext,ResultAnalyticalMethod/MethodName,ResultAnalyticalMethod/MethodUrl,ResultAnalyticalMethod/MethodDescriptionText,LaboratoryName,AnalysisStartDate,ResultLaboratoryCommentText,ResultDetectionQuantitationLimitUrl,DetectionQuantitationLimitTypeName,DetectionQuantitationLimitMeasure/MeasureValue,DetectionQuantitationLimitMeasure/MeasureUnitCode,LabSamplePreparationUrl,LastUpdated,ProviderName
CABEACH_WQX,California State Water Resource Control Board,CABEACH_WQX-2180359,Sample-Routine,Water,Surface Water,2015-08-17,00:00:00,PST,,,,,,,,,,,,CA485061;EPABEACH,Dana Point Harbor;EPABEACH,,CABEACH_WQX-MDP11,MDP11,,,,,33.4620000000,-117.7034100000,Grab,CABEACH_WQX,Grab Sample,Method for generic water collection that was either grab or integrated,Miscellaneous (Other),STORET-527691954,,,Fecal Coliform,,9,cfu/100ml,,Final,,Actual,,,,,,,,,,,,0.1,m,,,,,,,APHA9222D,CABEACH_WQX,APHA9222D,,,,,,,,,,,2016-03-24 17:26:28.0,STORET
CABEACH_WQX,California State Water Resource Control Board,CABEACH_WQX-2137817,Sample-Routine,Water,Surface Water,2015-03-03,00:00:00,PST,,,,,,,,,,,,CA485061;EPABEACH,Dana Point Harbor;EPABEACH,,CABEACH_WQX-MDP11,MDP11,,,,,33.4620000000,-117.7034100000,Grab,CABEACH_WQX,Grab Sample,Method for generic water collection that was either grab or integrated,Miscellaneous (Other),STORET-527651159,,,Enterococcus,,2,cfu/100ml,,Final,,Actual,,,,,,,,,,,,0.1,m,,,,,,,EPA1600,CABEACH_WQX,EPA1600,,,,,,,,,,,2016-03-24 16:11:41.0,STORET
CABEACH_WQX,California State Water Resource Control Board,CABEACH_WQX-2212482,Sample-Routine,Water,Surface Water,2015-11-16,00:00:00,PST,,,,,,,,,,,,CA485061;EPABEACH,Dana Point Harbor;EPABEACH,,CABEACH_WQX-MDP11,MDP11,,,,,33.4620000000,-117.7034100000,Grab,CABEACH_WQX,Grab Sample,Method for generic water collection that was either grab or integrated,Miscellaneous (Other),STORET-527716140,,,Fecal Coliform,,9,cfu/100ml,,Final,,Actual,,,,,,,,,,,,0.1,m,,,,,,,APHA9222D,CABEACH_WQX,APHA9222D,,,,,,,,,,,2016-03-24 18:14:12.0,STORET
CABEACH_WQX,California State Water Resource Control Board,CABEACH_WQX-2152873,Sample-Routine,Water,Surface Water,2015-05-04,00:00:00,PST,,,,,,,,,,,,CA485061;EPABEACH,Dana Point Harbor;EPABEACH,,CABEACH_WQX-MDP11,MDP11,,,,,33.4620000000,-117.7034100000,Grab,CABEACH_WQX,Grab Sample,Method for generic water collection that was either grab or integrated,Miscellaneous (Other),STORET-527668805,,,Fecal Coliform,,9,cfu/100ml,,Final,,Actual,,,,,,,,,,,,0.1,m,,,,,,,APHA9222D,CABEACH_WQX,APHA9222D,,,,,,,,,,,2016-03-24 16:42:00.0,STORET
CABEACH_WQX,California State Water Resource Control Board,CABEACH_WQX-2206102,Sample-Routine,Water,Surface Water,2015-10-13,00:00:00,PST,,,,,,,,,,,,CA485061;EPABEACH,Dana Point Harbor;EPABEACH,,CABEACH_WQX-MDP11,MDP11,,,,,33.4620000000,-117.7034100000,Grab,CABEACH_WQX,Grab Sample,Method for generic water collection that was either grab or integrated,Miscellaneous (Other),STORET-527710325,,,Enterococcus,,9,cfu/100ml,,Final,,Actual,,,,,,,,,,,,0.1,m,,,,,,,EPA1600,CABEACH_WQX,EPA1600,,,,,,,,,,,2016-03-24 18:01:15.0,STORET
CABEACH_WQX,California State Water Resource Control Board,CABEACH_WQX-2139643,Sample-Routine,Water,Surface Water,2015-02-24,00:00:00,PST,,,,,,,,,,,,CA485061;EPABEACH,Dana Point Harbor;EPABEACH,,CABEACH_WQX-MDP11,MDP11,,,,,33.4620000000,-117.7034100000,Grab,CABEACH_WQX,Grab Sample,Method for generic water collection that was either grab or integrated,Miscellaneous (Other),STORET-527655067,,,Fecal Coliform,,10,cfu/100ml,,Final,,Actual,,,,,,,,,,,,0.1,m,,,,,,,APHA9222D,CABEACH_WQX,APHA9222D,,,,,,,,,,,2016-03-24 16:13:50.0,STORET
CABEACH_WQX,California State Water Resource Control Board,CABEACH_WQX-2213226,Sample-Routine,Water,Surface Water,2015-11-30,00:00:00,PST,,,,,,,,,,,,CA485061;EPABEACH,Dana Point Harbor;EPABEACH,,CABEACH_WQX-MDP11,MDP11,,,,,33.4620000000,-117.7034100000,Grab,CABEACH_WQX,Grab Sample,Method for generic water collection that was either grab or integrated,Miscellaneous (Other),STORET-527718086,,,Total Coliform,,9,cfu/100ml,,Final,,Actual,,,,,,,,,,,,0.1,m,,,,,,,APHA9222B,CABEACH_WQX,APHA9222B,,,,,,,,,,,2016-03-24 18:18:15.0,STORET
CABEACH_WQX,California State Water Resource Control Board,CABEACH_WQX-2156904,Sample-Routine,Water,Surface Water,2015-05-12,00:00:00,PST,,,,,,,,,,,,CA485061;EPABEACH,Dana Point Harbor;EPABEACH,,CABEACH_WQX-MDP11,MDP11,,,,,33.4620000000,-117.7034100000,Grab,CABEACH_WQX,Grab Sample,Method for generic water collection that was either grab or integrated,Miscellaneous (Other),STORET-527672699,,,Enterococcus,,9,cfu/100ml,,Final,,Actual,,,,,,,,,,,,0.1,m,,,,,,,EPA1600,CABEACH_WQX,EPA1600,,,,,,,,,,,2016-03-24 16:48:57.0,STORET
CABEACH_WQX,California State Water Resource Control Board,CABEACH_WQX-2214061,Sample-Routine,Water,Surface Water,2015-12-07,00:00:00,PST,,,,,,,,,,,,CA485061;EPABEACH,Dana Point Harbor;EPABEACH,,CABEACH_WQX-MDP11,MDP11,,,,,33.4620000000,-117.7034100000,Grab,CABEACH_WQX,Grab Sample,Method for generic water collection that was either grab or integrated,Miscellaneous (Other),STORET-527717752,,,Total Coliform,,30,cfu/100ml,,Final,,Actual,,,,,,,,,,,,0.1,m,,,,,,,APHA9222B,CABEACH_WQX,APHA9222B,,,,,,,,,,,2016-03-24 18:17:37.0,STORET
CABEACH_WQX,California State Water Resource Control Board,CABEACH_WQX-2137816,Sample-Routine,Water,Surface Water,2015-03-03,00:00:00,PST,,,,,,,,,,,,CA485061;EPABEACH,Dana Point Harbor;EPABEACH,,CABEACH_WQX-MDP11,MDP11,,,,,33.4620000000,-117.7034100000,Grab,CABEACH_WQX,Grab Sample,Method for generic water collection that was either grab or integrated,Miscellaneous (Other),STORET-527651087,,,Fecal Coliform,,10,cfu/100ml,,Final,,Actual,,,,,,,,,,,,0.1,m,,,,,,,APHA9222D,CABEACH_WQX,APHA9222D,,,,,,,,,,,2016-03-24 16:11:34.0,STORET
