OrganizationIdentifier,OrganizationFormalName,ActivityIdentifier,ActivityTypeCode,ActivityMediaName,ActivityMediaSubdivisionName,ActivityStartDate,ActivityStartTime/Time,ActivityStartTime/TimeZoneCode,ActivityEndDate,ActivityEndTime/Time,ActivityEndTime/TimeZoneCode,ActivityRelativeDepthName,ActivityDepthHeightMeasure/MeasureValue,ActivityDepthHeightMeasure/MeasureUnitCode,ActivityDepthAltitudeReferencePointText,ActivityTopDepthHeightMeasure/MeasureValue,ActivityTopDepthHeightMeasure/MeasureUnitCode,ActivityBottomDepthHeightMeasure/MeasureValue,ActivityBottomDepthHeightMeasure/MeasureUnitCode,ProjectIdentifier,ProjectName,ActivityConductingOrganizationText,MonitoringLocationIdentifier,MonitoringLocationName,ActivityCommentText,SampleAquifer,HydrologicCondition,HydrologicEvent,Latitude,Longitude,SampleCollectionMethod/MethodIdentifier,SampleCollectionMethod/MethodIdentifierContext,SampleCollectionMethod/MethodName,SampleCollectionMethod/MethodDescriptionText,SampleCollectionEquipmentName,ResultIdentifier,ResultDetectionConditionText,MethodSpeciationName,CharacteristicName,ResultSampleFractionText,ResultMeasureValue,ResultMeasure/MeasureUnitCode,MeasureQualifierCode,ResultStatusIdentifier,StatisticalBaseCode,ResultValueTypeName,ResultWeightBasisText,ResultTimeBasisText,ResultTemperatureBasisText,ResultParticleSizeBasisText,DataQuality/PrecisionValue,DataQuality/BiasValue,DataQuality/ConfidenceIntervalValue,DataQuality/UpperConfidenceLimitValue,DataQuality/LowerConfidenceLimitValue,ResultCommentText,USGSPCode,ResultDepthHeightMeasure/MeasureValue,ResultDepthHeightMeasure/MeasureUnitCode,ResultDepthAltitudeReferencePointText,SubjectTaxonomicName,SampleTissueAnatomyName,BinaryObjectFileName,BinaryObjectFileTypeCode,ResultFileUrl,ResultAnalyticalMethod/MethodIdentifier,ResultAnalyticalMethod/MethodIdentifierContext,ResultAnalyticalMethod/MethodName,ResultAnalyticalMethod/MethodUrl,ResultAnalyticalMethod/MethodDescriptionText,LaboratoryName,AnalysisStartDate,ResultLaboratoryCommentText,ResultDetectionQuantitationLimitUrl,DetectionQuantitationLimitTypeName,DetectionQuantitationLimitMeasure/MeasureValue,DetectionQuantitationLimitMeasure/MeasureUnitCode,LabSamplePreparationUrl,LastUpdated,ProviderName
EMAP_CS_WQX,Environmental Monitoring and Assessment Program,EMAP_CS_WQX-08-20-CA40-2,Sample-Routine,Water,,1999-08-20,,,,,,Bottom,3,m,,,,,,WCOAST,EMAP-West 1999-2006 Coastal Monitoring,,EMAP_CS_WQX-CA99-0040,Dana Point Harbor,,,,,33.4610000000,-117.7020000000,EW-AK: Nutrients,EMAP_CS_WQX,Niskin water sampler,"Discrete seawater samples were collected from surface, mid-depth, and bottom water layers with a Niskin water sampler: 1.7 l for Washington State; 2.2 l for Hawaii 2001-02; Kemmerer bottle water sampler used by EMAP-West States of California and Oregon",Kemmerer Bottle,STORET-113328575,,,Nitrite,Dissolved,-99,mg/l,,Final,,Calculated,,,,,,,,,,Program: EMAP-West 1999 California Coastal Project; Analtye: Nitrite (mg N/L); MDL: 0.01 mg/l,,,,,,,,,,EW:CA Nutrients,EMAP_CS_WQX,Nutrient analyses from water samples,,,,,,,,,,,2011-10-11 09:02:55.0,STORET
EMAP_CS_WQX,Environmental Monitoring and Assessment Program,EMAP_CS_WQX-08-20-CA40-2,Sample-Routine,Water,,1999-08-20,,,,,,Bottom,3,m,,,,,,WCOAST,EMAP-West 1999-2006 Coastal Monitoring,,EMAP_CS_WQX-CA99-0040,Dana Point Harbor,,,,,33.4610000000,-117.7020000000,EW-AK: Nutrients,EMAP_CS_WQX,Niskin water sampler,"Discrete seawater samples were collected from surface, mid-depth, and bottom water layers with a Niskin water sampler: 1.7 l for Washington State; 2.2 l for Hawaii 2001-02; Kemmerer bottle water sampler used by EMAP-West States of California and Oregon",Kemmerer Bottle,STORET-113328566,,,"Chlorophyll a, uncorrected for pheophytin",Suspended,2.08,ug/l,,Final,,Calculated,,,,,,,,,,Program: EMAP-West 1999 California Coastal Project; Analtye: Chlorophyll a (ug/l); MDL: 0.003 ug/l,,,,,,,,,,EW:CA Nutrients,EMAP_CS_WQX,Nutrient analyses from water samples,,,,,,,,,,,2011-10-11 09:02:55.0,STORET
EMAP_CS_WQX,Environmental Monitoring and Assessment Program,EMAP_CS_WQX-08-20-CA40-2,Sample-Routine,Water,,1999-08-20,,,,,,Bottom,3,m,,,,,,WCOAST,EMAP-West 1999-2006 Coastal Monitoring,,EMAP_CS_WQX-CA99-0040,Dana Point Harbor,,,,,33.4610000000,-117.7020000000,EW-AK: Nutrients,EMAP_CS_WQX,Niskin water sampler,"Discrete seawater samples were collected from surface, mid-depth, and bottom water layers with a Niskin water sampler: 1.7 l for Washington State; 2.2 l for Hawaii 2001-02; Kemmerer bottle water sampler used by EMAP-West States of California and Oregon",Kemmerer Bottle,STORET-113328573,,,Nitrite,Dissolved,0.03,mg/l,,Final,,Calculated,,,,,,,,,,Program: EMAP-West 1999 California Coastal Project; Analtye: Nitrite (mg N/L); MDL: 0.01 mg/l,,,,,,,,,,EW:CA Nutrients,EMAP_CS_WQX,Nutrient analyses from water samples,,,,,,,,,,,2011-10-11 09:02:55.0,STORET
EMAP_CS_WQX,Environmental Monitoring and Assessment Program,EMAP_CS_WQX-08-20-CA40-2,Sample-Routine,Water,,1999-08-20,,,,,,Bottom,3,m,,,,,,WCOAST,EMAP-West 1999-2006 Coastal Monitoring,,EMAP_CS_WQX-CA99-0040,Dana Point Harbor,,,,,33.4610000000,-117.7020000000,EW-AK: Nutrients,EMAP_CS_WQX,Niskin water sampler,"Discrete seawater samples were collected from surface, mid-depth, and bottom water layers with a Niskin water sampler: 1.7 l for Washington State; 2.2 l for Hawaii 2001-02; Kemmerer bottle water sampler used by EMAP-West States of California and Oregon",Kemmerer Bottle,STORET-113328582,,,"Light, transmissivity",,70.5751925,%,,Final,,Calculated,,,,,,,,,,Program: EMAP-West 1999 California Coastal Project; Analtye: Light transmittance (%) @ 1 m,,,,,,,,,,EW:CA Nutrients,EMAP_CS_WQX,Nutrient analyses from water samples,,,,,,,,,,,2011-10-11 09:02:55.0,STORET
EMAP_CS_WQX,Environmental Monitoring and Assessment Program,EMAP_CS_WQX-08-20-CA40-2,Sample-Routine,Water,,1999-08-20,,,,,,Bottom,3,m,,,,,,WCOAST,EMAP-West 1999-2006 Coastal Monitoring,,EMAP_CS_WQX-CA99-0040,Dana Point Harbor,,,,,33.4610000000,-117.7020000000,EW-AK: Nutrients,EMAP_CS_WQX,Niskin water sampler,"Discrete seawater samples were collected from surface, mid-depth, and bottom water layers with a Niskin water sampler: 1.7 l for Washington State; 2.2 l for Hawaii 2001-02; Kemmerer bottle water sampler used by EMAP-West States of California and Oregon",Kemmerer Bottle,STORET-113328567,,,"Chlorophyll a, uncorrected for pheophytin",Suspended,1.08,ug/l,,Final,,Calculated,,,,,,,,,,Program: EMAP-West 1999 California Coastal Project; Analtye: Chlorophyll a (ug/l); MDL: 0.003 ug/l,,,,,,,,,,EW:CA Nutrients,EMAP_CS_WQX,Nutrient analyses from water samples,,,,,,,,,,,2011-10-11 09:02:55.0,STORET
EMAP_CS_WQX,Environmental Monitoring and Assessment Program,EMAP_CS_WQX-08-20-CA40-2,Sample-Routine,Water,,1999-08-20,,,,,,Bottom,3,m,,,,,,WCOAST,EMAP-West 1999-2006 Coastal Monitoring,,EMAP_CS_WQX-CA99-0040,Dana Point Harbor,,,,,33.4610000000,-117.7020000000,EW-AK: Nutrients,EMAP_CS_WQX,Niskin water sampler,"Discrete seawater samples were collected from surface, mid-depth, and bottom water layers with a Niskin water sampler: 1.7 l for Washington State; 2.2 l for Hawaii 2001-02; Kemmerer bottle water sampler used by EMAP-West States of California and Oregon",Kemmerer Bottle,STORET-113328574,,,Nitrite,Dissolved,-99,mg/l,,Final,,Calculated,,,,,,,,,,Program: EMAP-West 1999 California Coastal Project; Analtye: Nitrite (mg N/L); MDL: 0.01 mg/l,,,,,,,,,,EW:CA Nutrients,EMAP_CS_WQX,Nutrient analyses from water samples,,,,,,,,,,,2011-10-11 09:02:55.0,STORET
EMAP_CS_WQX,Environmental Monitoring and Assessment Program,EMAP_CS_WQX-08-20-CA40-2,Sample-Routine,Water,,1999-08-20,,,,,,Bottom,3,m,,,,,,WCOAST,EMAP-West 1999-2006 Coastal Monitoring,,EMAP_CS_WQX-CA99-0040,Dana Point Harbor,,,,,33.4610000000,-117.7020000000,EW-AK: Nutrients,EMAP_CS_WQX,Niskin water sampler,"Discrete seawater samples were collected from surface, mid-depth, and bottom water layers with a Niskin water sampler: 1.7 l for Washington State; 2.2 l for Hawaii 2001-02; Kemmerer bottle water sampler used by EMAP-West States of California and Oregon",Kemmerer Bottle,STORET-113328581,,,Phosphorus,Dissolved,0.06,mg/l,,Final,,Calculated,,,,,,,,,,Program: EMAP-West 1999 California Coastal Project; Analtye: Dissolved inorganic phosphorus (mg P/L); MDL: 0.01 mg/l,,,,,,,,,,EW:CA Nutrients,EMAP_CS_WQX,Nutrient analyses from water samples,,,,,,,,,,,2011-10-11 09:02:55.0,STORET
EMAP_CS_WQX,Environmental Monitoring and Assessment Program,EMAP_CS_WQX-08-20-CA40-2,Sample-Routine,Water,,1999-08-20,,,,,,Bottom,3,m,,,,,,WCOAST,EMAP-West 1999-2006 Coastal Monitoring,,EMAP_CS_WQX-CA99-0040,Dana Point Harbor,,,,,33.4610000000,-117.7020000000,EW-AK: Nutrients,EMAP_CS_WQX,Niskin water sampler,"Discrete seawater samples were collected from surface, mid-depth, and bottom water layers with a Niskin water sampler: 1.7 l for Washington State; 2.2 l for Hawaii 2001-02; Kemmerer bottle water sampler used by EMAP-West States of California and Oregon",Kemmerer Bottle,STORET-113328568,,,"Chlorophyll a, uncorrected for pheophytin",Suspended,0.76,ug/l,,Final,,Calculated,,,,,,,,,,Program: EMAP-West 1999 California Coastal Project; Analtye: Chlorophyll a (ug/l); MDL: 0.003 ug/l,,,,,,,,,,EW:CA Nutrients,EMAP_CS_WQX,Nutrient analyses from water samples,,,,,,,,,,,2011-10-11 09:02:55.0,STORET
EMAP_CS_WQX,Environmental Monitoring and Assessment Program,EMAP_CS_WQX-08-20-CA40-2,Sample-Routine,Water,,1999-08-20,,,,,,Bottom,3,m,,,,,,WCOAST,EMAP-West 1999-2006 Coastal Monitoring,,EMAP_CS_WQX-CA99-0040,Dana Point Harbor,,,,,33.4610000000,-117.7020000000,EW-AK: Nutrients,EMAP_CS_WQX,Niskin water sampler,"Discrete seawater samples were collected from surface, mid-depth, and bottom water layers with a Niskin water sampler: 1.7 l for Washington State; 2.2 l for Hawaii 2001-02; Kemmerer bottle water sampler used by EMAP-West States of California and Oregon",Kemmerer Bottle,STORET-113328578,,,Nitrate,Dissolved,0.13,mg/l,,Final,,Calculated,,,,,,,,,,Program: EMAP-West 1999 California Coastal Project; Analtye: Nitrate (mg N/L); MDL: 0.01 mg/l,,,,,,,,,,EW:CA Nutrients,EMAP_CS_WQX,Nutrient analyses from water samples,,,,,,,,,,,2011-10-11 09:02:55.0,STORET
EMAP_CS_WQX,Environmental Monitoring and Assessment Program,EMAP_CS_WQX-08-20-CA40-2,Sample-Routine,Water,,1999-08-20,,,,,,Bottom,3,m,,,,,,WCOAST,EMAP-West 1999-2006 Coastal Monitoring,,EMAP_CS_WQX-CA99-0040,Dana Point Harbor,,,,,33.4610000000,-117.7020000000,EW-AK: Nutrients,EMAP_CS_WQX,Niskin water sampler,"Discrete seawater samples were collected from surface, mid-depth, and bottom water layers with a Niskin water sampler: 1.7 l for Washington State; 2.2 l for Hawaii 2001-02; Kemmerer bottle water sampler used by EMAP-West States of California and Oregon",Kemmerer Bottle,STORET-113328579,,,Phosphorus,Dissolved,0.08,mg/l,,Final,,Calculated,,,,,,,,,,Program: EMAP-West 1999 California Coastal Project; Analtye: Dissolved inorganic phosphorus (mg P/L); MDL: 0.01 mg/l,,,,,,,,,,EW:CA Nutrients,EMAP_CS_WQX,Nutrient analyses from water samples,,,,,,,,,,,2011-10-11 09:02:55.0,STORET
